Family Number	Protein Family
4949	In the C-terminal section; belongs to the glycosyl hydrolase 13 family. GlgE subfamily
4950	In the C-terminal section; belongs to the glycosyl hydrolase 16 family
4951	In the C-terminal section; belongs to the glycosyl hydrolase 26 family
4952	In the C-terminal section; belongs to the glycosyl hydrolase 44 (cellulase J) family
4953	In the C-terminal section; belongs to the glycosyl hydrolase 5 (cellulase A) family
4954	In the C-terminal section; belongs to the glycosyl hydrolase 65 family
4955	In the C-terminal section; belongs to the glycosyl hydrolase 73 family
4956	In the C-terminal section; belongs to the glycosyl hydrolase 78 family
4957	In the C-terminal section; belongs to the glycosyltransferase 2 family
4958	In the C-terminal section; belongs to the glycosyltransferase 20 family
4959	In the C-terminal section; belongs to the glycosyltransferase 28 family
4960	In the C-terminal section; belongs to the GMC oxidoreductase family
4961	In the C-terminal section; belongs to the gob-1 trehalose phosphatase family
4962	In the C-terminal section; belongs to the GppA/Ppx family
4963	In the C-terminal section; belongs to the GST superfamily
4964	In the C-terminal section; belongs to the GT-D family
4965	In the C-terminal section; belongs to the GTP cyclohydrolase I family
4966	In the C-terminal section; belongs to the GTP cyclohydrolase II family
4967	In the C-terminal section; belongs to the HAD-like hydrolase superfamily
4968	In the C-terminal section; belongs to the HAD-like hydrolase superfamily. MasA/MtnC family
4969	In the C-terminal section; belongs to the helicase family. RecG subfamily
4970	In the C-terminal section; belongs to the HesA/MoeB/ThiF family
4971	In the C-terminal section; belongs to the HisA/HisF family
4972	In the C-terminal section; belongs to the histidine phosphatase superfamily
4973	In the C-terminal section; belongs to the histidinol dehydrogenase family
4974	In the C-terminal section; belongs to the homoserine dehydrogenase family
4975	In the C-terminal section; belongs to the HPPK family
4976	In the C-terminal section; belongs to the HPS/KGPDC family. HPS subfamily
4977	In the C-terminal section; belongs to the HTP reductase family
4978	In the C-terminal section; belongs to the HupJ family
4979	In the C-terminal section; belongs to the imidazoleglycerol-phosphate dehydratase family
4980	In the C-terminal section; belongs to the iron-containing alcohol dehydrogenase family
4981	In the C-terminal section; belongs to the iron/ascorbate- dependent oxidoreductase family
4982	In the C-terminal section; belongs to the isocitrate lyase/PEP mutase superfamily. PEP mutase family
4983	In the C-terminal section; belongs to the IspF family
4984	In the C-terminal section; belongs to the LAGLIDADG endonuclease family
4985	In the C-terminal section; belongs to the LCL3 family
4986	In the C-terminal section; belongs to the LDH/MDH superfamily
4987	In the C-terminal section; belongs to the LigD polymerase family
4988	In the C-terminal section; belongs to the LipB family
4989	In the C-terminal section; belongs to the lipoxygenase family
4990	In the C-terminal section; belongs to the LOG family
4991	In the C-terminal section; belongs to the LpxB family
4992	In the C-terminal section; belongs to the lyase 1 family. Argininosuccinate lyase subfamily
4993	In the C-terminal section; belongs to the malate synthase family
4994	In the C-terminal section; belongs to the mariner transposase family
4995	In the C-terminal section; belongs to the MbcT/ParT/Res family
4996	In the C-terminal section; belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family
4997	In the C-terminal section; belongs to the methylenetetrahydrofolate reductase family
4998	In the C-terminal section; belongs to the methyltransferase superfamily
4999	In the C-terminal section; belongs to the methyltransferase superfamily. Bacterial-type CbiT family
5000	In the C-terminal section; belongs to the MetW family
5001	In the C-terminal section; belongs to the MGMT family
5002	In the C-terminal section; belongs to the MinC family
5003	In the C-terminal section; belongs to the MliC family
5004	In the C-terminal section; belongs to the MnmA/TRMU family
5005	In the C-terminal section; belongs to the MoaB/Mog family
5006	In the C-terminal section; belongs to the MoaE family
5007	In the C-terminal section; belongs to the MobA family
5008	In the C-terminal section; belongs to the MoeA family
5009	In the C-terminal section; belongs to the molybdenum dinucleotide binding protein family
5010	In the C-terminal section; belongs to the MQO family
5011	In the C-terminal section; belongs to the Mrp/NBP35 ATP- binding proteins family
5012	In the C-terminal section; belongs to the MsrA Met sulfoxide reductase family
5013	In the C-terminal section; belongs to the MsrB Met sulfoxide reductase family
5014	In the C-terminal section; belongs to the MurCDEF family
5015	In the C-terminal section; belongs to the N(4)/N(6)- methyltransferase family
5016	In the C-terminal section; belongs to the N-acetylmuramoyl- L-alanine amidase 3 family
5017	In the C-terminal section; belongs to the NAD kinase family
5018	In the C-terminal section; belongs to the NAD synthetase family
5019	In the C-terminal section; belongs to the NAD(P)-dependent epimerase/dehydratase family. UDP-glucuronic acid decarboxylase subfamily
5020	In the C-terminal section; belongs to the NAGSA dehydrogenase family
5021	In the C-terminal section; belongs to the natriuretic peptide family
5022	In the C-terminal section; belongs to the NDK family
5023	In the C-terminal section; belongs to the NfuA family
5024	In the C-terminal section; belongs to the NhaA Na(+)/H(+) (TC 2.A.33) antiporter family
5025	In the C-terminal section; belongs to the nitrate reductase gamma subunit family
5026	In the C-terminal section; belongs to the nitrile hydratase subunit beta family
5027	In the C-terminal section; belongs to the nitrobindin family
5028	In the C-terminal section; belongs to the NnrD/CARKD family
5029	In the C-terminal section; belongs to the NRAMP family
5030	In the C-terminal section; belongs to the NRP synthetase family
5031	In the C-terminal section; belongs to the Nudix hydrolase family
5032	In the C-terminal section; belongs to the Nudix hydrolase family. RppH subfamily
5033	In the C-terminal section; belongs to the NYAP family
5034	In the C-terminal section; belongs to the OMP decarboxylase family
5035	In the C-terminal section; belongs to the OsmX family
5036	In the C-terminal section; belongs to the PAL/histidase family
5037	In the C-terminal section; belongs to the PAPS reductase family
5038	In the C-terminal section; belongs to the PAPS reductase family. FAD1 subfamily
5039	In the C-terminal section; belongs to the paxM FAD- dependent monooxygenase family
5040	In the C-terminal section; belongs to the pectinesterase family
5041	In the C-terminal section; belongs to the PEP-utilizing enzyme family
5042	In the C-terminal section; belongs to the peptidase C2 family
5043	In the C-terminal section; belongs to the peptidase C58 family
5044	In the C-terminal section; belongs to the peptidase M13 family
5045	In the C-terminal section; belongs to the peptidase M23B family
5046	In the C-terminal section; belongs to the peptidase M41 family
5047	In the C-terminal section; belongs to the peptidase S49 family
5048	In the C-terminal section; belongs to the PGAP2IP family
5049	In the C-terminal section; belongs to the PhoH family
5050	In the C-terminal section; belongs to the phosphate acetyltransferase and butyryltransferase family
5051	In the C-terminal section; belongs to the phosphoglycerate mutase family
5052	In the C-terminal section; belongs to the PHP family
5053	In the C-terminal section; belongs to the phytoene/squalene synthase family
5054	In the C-terminal section; belongs to the PIGF family
5055	In the C-terminal section; belongs to the PNT beta subunit family
5056	In the C-terminal section; belongs to the polysaccharide deacetylase family
5057	In the C-terminal section; belongs to the PP2C family
5058	In the C-terminal section; belongs to the PPC synthetase family
5059	In the C-terminal section; belongs to the PPR family. P subfamily
5060	In the C-terminal section; belongs to the PqqD family
5061	In the C-terminal section; belongs to the PRA-PH family
5062	In the C-terminal section; belongs to the precorrin methyltransferase family
5063	In the C-terminal section; belongs to the precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase family
5064	In the C-terminal section; belongs to the prephenate/arogenate dehydrogenase family
5065	In the C-terminal section; belongs to the prokaryotic molybdopterin-containing oxidoreductase family
5066	In the C-terminal section; belongs to the prokaryotic type I/III topoisomerase family
5067	In the C-terminal section; belongs to the protein kinase superfamily
5068	In the C-terminal section; belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family
5069	In the C-terminal section; belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family
5070	In the C-terminal section; belongs to the protein kinase superfamily. Ser/Thr protein kinase family
5071	In the C-terminal section; belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family
5072	In the C-terminal section; belongs to the protein kinase superfamily. TKL Tyr protein kinase family
5073	In the C-terminal section; belongs to the protein kinase superfamily. Tyr protein kinase family. BUD32 subfamily
5074	In the C-terminal section; belongs to the protein sulfotransferase family
5075	In the C-terminal section; belongs to the PseG family
5076	In the C-terminal section; belongs to the purine/pyrimidine phosphoribosyltransferase family
5077	In the C-terminal section; belongs to the PyrI family
5078	In the C-terminal section; belongs to the pyridoxamine 5'- phosphate oxidase family
5079	In the C-terminal section; belongs to the radical SAM superfamily. CofH family
5080	In the C-terminal section; belongs to the radical SAM superfamily. Viperin family
5081	In the C-terminal section; belongs to the rhamnose isomerase family
5082	In the C-terminal section; belongs to the ribose 1,5- bisphosphokinase family
5083	In the C-terminal section; belongs to the ribose 5- phosphate isomerase family
5084	In the C-terminal section; belongs to the RimK family
5085	In the C-terminal section; belongs to the RNA polymerase beta' chain family
5086	In the C-terminal section; belongs to the RNA polymerase beta' chain family. RpoC2 subfamily
5087	In the C-terminal section; belongs to the ROK (NagC/XylR) family
5088	In the C-terminal section; belongs to the ROK (NagC/XylR) family. NanK subfamily
5089	In the C-terminal section; belongs to the RTX prokaryotic toxin family
5090	In the C-terminal section; belongs to the RutC family
5091	In the C-terminal section; belongs to the saccharopine dehydrogenase family
5092	In the C-terminal section; belongs to the Schlafen protein family. Subgroup poxviridae B3 subfamily
5093	In the C-terminal section; belongs to the SecD/SecF family. SecF subfamily
5094	In the C-terminal section; belongs to the shikimate dehydrogenase family
5095	In the C-terminal section; belongs to the short-chain dehydrogenases/reductases (SDR) family
5096	In the C-terminal section; belongs to the SIS family. GFAT subfamily
5097	In the C-terminal section; belongs to the small GTPase superfamily. Arf family
5098	In the C-terminal section; belongs to the SNF2/RAD54 helicase family
5099	In the C-terminal section; belongs to the SpvB family
5100	In the C-terminal section; belongs to the succinate/malate CoA ligase alpha subunit family
5101	In the C-terminal section; belongs to the sugar phosphate cyclases superfamily. Dehydroquinate synthase family
5102	In the C-terminal section; belongs to the sulfate adenylyltransferase family
5103	In the C-terminal section; belongs to the tfa family
5104	In the C-terminal section; belongs to the thiaminase-2 family
5105	In the C-terminal section; belongs to the thiamine- phosphate synthase family
5106	In the C-terminal section; belongs to the ThiC family
5107	In the C-terminal section; belongs to the ThiD family
5108	In the C-terminal section; belongs to the ThiG family
5109	In the C-terminal section; belongs to the ThiN family
5110	In the C-terminal section; belongs to the thioester dehydratase family
5111	In the C-terminal section; belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family
5112	In the C-terminal section; belongs to the thiolase-like superfamily. Fungal fatty acid synthetase subunit alpha family
5113	In the C-terminal section; belongs to the thioredoxin family
5114	In the C-terminal section; belongs to the thymidine/pyrimidine-nucleoside phosphorylase family. Type 2 subfamily
5115	In the C-terminal section; belongs to the thymidylate synthase family
5116	In the C-terminal section; belongs to the Thz kinase family
5117	In the C-terminal section; belongs to the TMEM173 family
5118	In the C-terminal section; belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. FeoB GTPase (TC 9.A.8) family
5119	In the C-terminal section; belongs to the transferase hexapeptide repeat family
5120	In the C-terminal section; belongs to the transglycosylase Slt family
5121	In the C-terminal section; belongs to the transketolase family
5122	In the C-terminal section; belongs to the transpeptidase family
5123	In the C-terminal section; belongs to the transposase 35 family
5124	In the C-terminal section; belongs to the transthyretin family. 5-hydroxyisourate hydrolase subfamily
5125	In the C-terminal section; belongs to the TRAP transporter large permease family
5126	In the C-terminal section; belongs to the trehalose phosphatase family
5127	In the C-terminal section; belongs to the triosephosphate isomerase family
5128	In the C-terminal section; belongs to the TrpB family
5129	In the C-terminal section; belongs to the TrpF family
5130	In the C-terminal section; belongs to the tryptophan dimethylallyltransferase family
5131	In the C-terminal section; belongs to the type III pantothenate kinase family
5132	In the C-terminal section; belongs to the type-B carboxylesterase/lipase family
5133	In the C-terminal section; belongs to the UbiA prenyltransferase family. Protoheme IX farnesyltransferase subfamily
5134	In the C-terminal section; belongs to the ubiquitin- conjugating enzyme family
5135	In the C-terminal section; belongs to the universal ribosomal protein uS9 family
5136	In the C-terminal section; belongs to the universal stress protein A family
5137	In the C-terminal section; belongs to the UPF0157 (GrpB) family
5138	In the C-terminal section; belongs to the UPF0201 family
5139	In the C-terminal section; belongs to the UPF0313 family
5140	In the C-terminal section; belongs to the UPF0434 family
5141	In the C-terminal section; belongs to the UPP synthase family
5142	In the C-terminal section; belongs to the UPRTase family
5143	In the C-terminal section; belongs to the urease beta subunit family
5144	In the C-terminal section; belongs to the UreF family
5145	In the C-terminal section; belongs to the uricase family
5146	In the C-terminal section; belongs to the uridine kinase family
5147	In the C-terminal section; belongs to the uroporphyrinogen- III synthase family
5148	In the C-terminal section; belongs to the venom metalloproteinase (M12B) family
5149	In the C-terminal section; belongs to the WD repeat CIA1 family
5150	In the C-terminal section; belongs to the YbiA family
5151	In the C-terminal section; belongs to the YjjX NTPase family
5152	In the central section; belongs to the 3-hydroxyacyl-CoA dehydrogenase family
5153	In the central section; belongs to the acetate CoA ligase beta subunit family
5154	In the central section; belongs to the CRISPR-associated helicase Cas3 family
5155	In the central section; belongs to the eukaryotic CoaD family
5156	In the central section; belongs to the extensin family
5157	In the central section; belongs to the glycosyltransferase 8 family
5158	In the central section; belongs to the GTP cyclohydrolase II family
5159	In the central section; belongs to the inositol 1,4,5- trisphosphate 5-phosphatase family
5160	In the central section; belongs to the metallo-dependent hydrolases superfamily. DHOase family. CAD subfamily
5161	In the central section; belongs to the pHpG family
5162	In the central section; belongs to the universal stress protein A family
5163	In the N-terminal section; belongs to the 3-hydroxyacyl-CoA dehydrogenase family. L-carnitine dehydrogenase subfamily
5164	In the N-terminal section; belongs to the AAA ATPase family. RarA/MGS1/WRNIP1 subfamily
5165	In the N-terminal section; belongs to the acetylglutamate kinase family. ArgB subfamily
5166	In the N-terminal section; belongs to the aldehyde dehydrogenase family
5167	In the N-terminal section; belongs to the archaeal NMN adenylyltransferase family
5168	In the N-terminal section; belongs to the asparaginase 1 family
5169	In the N-terminal section; belongs to the bacterial glucokinase family
5170	In the N-terminal section; belongs to the bacterial reverse transcriptase family
5171	In the N-terminal section; belongs to the calycin superfamily. Lipocalin family
5172	In the N-terminal section; belongs to the carbohydrate esterase 6 family
5173	In the N-terminal section; belongs to the CdiA toxin family
5174	In the N-terminal section; belongs to the ChdC family
5175	In the N-terminal section; belongs to the class I-like SAM- binding methyltransferase superfamily. Cation-independent O- methyltransferase family. COMT subfamily
5176	In the N-terminal section; belongs to the class I-like SAM- binding methyltransferase superfamily. mRNA cap 0-1 NS5-type methyltransferase family
5177	In the N-terminal section; belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family
5178	In the N-terminal section; belongs to the CofE family
5179	In the N-terminal section; belongs to the copper type II ascorbate-dependent monooxygenase family
5180	In the N-terminal section; belongs to the cytochrome P450 family
5181	In the N-terminal section; belongs to the DEFL family
5182	In the N-terminal section; belongs to the Diphthine-- ammonia ligase family
5183	In the N-terminal section; belongs to the DNA 3' phosphatase family
5184	In the N-terminal section; belongs to the DNA polymerase type-Y family
5185	In the N-terminal section; belongs to the FabD family
5186	In the N-terminal section; belongs to the FAD-binding oxidoreductase type 6 family
5187	In the N-terminal section; belongs to the FAD-binding oxidoreductase/transferase type 4 family
5188	In the N-terminal section; belongs to the FGAMS family
5189	In the N-terminal section; belongs to the flavodoxin family
5190	In the N-terminal section; belongs to the flavodoxin reductase family
5191	In the N-terminal section; belongs to the formiminotransferase family
5192	In the N-terminal section; belongs to the glucosamine/galactosamine-6-phosphate isomerase family. NagB subfamily
5193	In the N-terminal section; belongs to the glutamate-- cysteine ligase type 1 family. Type 2 subfamily
5194	In the N-terminal section; belongs to the glutamate-- cysteine ligase type 2 family. YbdK subfamily
5195	In the N-terminal section; belongs to the glycosyl hydrolase 10 (cellulase F) family
5196	In the N-terminal section; belongs to the glycosyl hydrolase 11 (cellulase G) family
5197	In the N-terminal section; belongs to the glycosyl hydrolase 9 (cellulase E) family
5198	In the N-terminal section; belongs to the glycosyltransferase 1 family
5199	In the N-terminal section; belongs to the glycosyltransferase 20 family
5200	In the N-terminal section; belongs to the glycosyltransferase 8 family
5201	In the N-terminal section; belongs to the HAD-like hydrolase superfamily
5202	In the N-terminal section; belongs to the heme-copper respiratory oxidase family
5203	In the N-terminal section; belongs to the HesA/MoeB/ThiF family
5204	In the N-terminal section; belongs to the HesA/MoeB/ThiF family. UBA4 subfamily
5205	In the N-terminal section; belongs to the HPPK family
5206	In the N-terminal section; belongs to the HSF family
5207	In the N-terminal section; belongs to the IML1 family
5208	In the N-terminal section; belongs to the isochorismatase family
5209	In the N-terminal section; belongs to the IspH family
5210	In the N-terminal section; belongs to the leguminous lectin family
5211	In the N-terminal section; belongs to the LipB family
5212	In the N-terminal section; belongs to the long-chain O- acyltransferase family
5213	In the N-terminal section; belongs to the LXG family
5214	In the N-terminal section; belongs to the lyase 1 family. Argininosuccinate lyase subfamily
5215	In the N-terminal section; belongs to the Maf family
5216	In the N-terminal section; belongs to the major facilitator superfamily
5217	In the N-terminal section; belongs to the methylglyoxal synthase family
5218	In the N-terminal section; belongs to the methylthiotransferase family. MiaB subfamily
5219	In the N-terminal section; belongs to the MoaC family
5220	In the N-terminal section; belongs to the multicopper oxidase family
5221	In the N-terminal section; belongs to the MurJ/MviN family
5222	In the N-terminal section; belongs to the N-acetylmuramoyl- L-alanine amidase 2 family
5223	In the N-terminal section; belongs to the NADH:flavin oxidoreductase/NADH oxidase family
5224	In the N-terminal section; belongs to the NhaA Na(+)/H(+) (TC 2.A.33) antiporter family
5225	In the N-terminal section; belongs to the NRP synthetase family
5226	In the N-terminal section; belongs to the peptidase S1C family
5227	In the N-terminal section; belongs to the peptidase S8 family
5228	In the N-terminal section; belongs to the peroxidase family
5229	In the N-terminal section; belongs to the phosphoglycerate kinase family
5230	In the N-terminal section; belongs to the phytochrome family
5231	In the N-terminal section; belongs to the PINc/VapC protein family
5232	In the N-terminal section; belongs to the precorrin methyltransferase family
5233	In the N-terminal section; belongs to the prephenate/arogenate dehydrogenase family
5234	In the N-terminal section; belongs to the protein kinase superfamily
5235	In the N-terminal section; belongs to the protein kinase superfamily. Ser/Thr protein kinase family
5236	In the N-terminal section; belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family
5237	In the N-terminal section; belongs to the protein N5- glutamine methyltransferase family. PrmC subfamily
5238	In the N-terminal section; belongs to the purine/pyrimidine phosphoribosyltransferase family
5239	In the N-terminal section; belongs to the pyruvate:ferredoxin/flavodoxin oxidoreductase family
5240	In the N-terminal section; belongs to the radical SAM superfamily. MoaA family
5241	In the N-terminal section; belongs to the ribosome- inactivating protein family. Type 2 RIP subfamily
5242	In the N-terminal section; belongs to the S-100 family
5243	In the N-terminal section; belongs to the site-specific recombinase resolvase family
5244	In the N-terminal section; belongs to the small GTPase superfamily. Rho family
5245	In the N-terminal section; belongs to the sodium:galactoside symporter (TC 2.A.2) family
5246	In the N-terminal section; belongs to the SpvB family
5247	In the N-terminal section; belongs to the TET family. JBP2 subfamily
5248	In the N-terminal section; belongs to the thiolase-like superfamily. Thiolase family
5249	In the N-terminal section; belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN/NodQ subfamily
5250	In the N-terminal section; belongs to the transient receptor (TC 1.A.4) family. LTrpC subfamily. TRPM6 sub-subfamily
5251	In the N-terminal section; belongs to the transient receptor (TC 1.A.4) family. LTrpC subfamily. TRPM7 sub-subfamily
5252	In the N-terminal section; belongs to the type-B carboxylesterase/lipase family
5253	In the N-terminal section; belongs to the TYW3 family
5254	In the N-terminal section; belongs to the ubiquitin family
5255	In the N-terminal section; belongs to the UPF0012 family
5256	In the N-terminal section; belongs to the UPF0276 family
5257	In the N-terminal section; belongs to the YopE family
5258	In the N-terminal section; belongs to the zinc metallo- hydrolase group 3 family
5259	INCA family
5260	INCENP family
5261	IncFII RepA family
5262	indoleamine 2,3-dioxygenase family
5263	influenza A viruses NS1 family
5264	influenza A viruses NS1 family.
5265	influenza B viruses NS1 family
5266	influenza C protein M1 family
5267	influenza C viruses NS1 family
5268	influenza type C/coronaviruses hemagglutinin-esterase family
5269	influenza viruses hemagglutinin family
5270	influenza viruses Matrix protein M1 family
5271	influenza viruses matrix protein M2 family
5272	influenza viruses NEP family
5273	influenza viruses nucleoprotein family
5274	influenza viruses PA family
5275	influenza viruses PA-X family
5276	influenza viruses PB1-F2 family
5277	influenza viruses PB2 family
5278	influenza viruses polymerase PB1 family
5279	influenza viruses type B glycoprotein NB family
5280	ING family
5281	initiator RepB protein family
5282	INKA family
5283	INN1/fic1 family
5284	inner dynein arm light chain family
5285	INO80D family
5286	inorganic carbon transporter (TC 9.A.2) DabA family
5287	inorganic carbon transporter (TC 9.A.2) DabB family
5288	inorganic phosphate transporter (PiT) (TC 2.A.20) family
5289	inorganic phosphate transporter (PiT) (TC 2.A.20) family. Pit subfamily
5290	inorganic phosphate transporter (PiT) (TC 2.A.20.2) family
5291	inositol 1,4,5-trisphosphate 5-phosphatase family
5292	inositol 1,4,5-trisphosphate 5-phosphatase type I family
5293	inositol 1,4,5-trisphosphate 5-phosphatase type II family
5294	inositol 1,4,5-trisphosphate 5-phosphatase type IV family
5295	inositol monophosphatase superfamily
5296	inositol monophosphatase superfamily. CysQ family
5297	inositol monophosphatase superfamily. FBPase class 4 family
5298	inositol phosphokinase (IPK) family
5299	inositol polyphosphate 5-phosphatase family
5300	inovirus capsid protein family
5301	inovirus G1P protein family
5302	inovirus G2P protein family
5303	inovirus G3P protein family
5304	inovirus G4P protein family
5305	inovirus G5P protein family
5306	inovirus G6P protein family
5307	inovirus G7P protein family
5308	INP1 family
5309	INP2 family
5310	insect A10/OS-D protein family
5311	insect antifreeze protein family
5312	insect apolipophorin-3 family
5313	insect beta-1,3-glucan binding protein family
5314	insect chemoreceptor superfamily. Gustatory receptor (GR) family
5315	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr10a subfamily
5316	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr21a subfamily
5317	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr22e subfamily
5318	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr2a subfamily
5319	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr57a subfamily
5320	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr5a subfamily
5321	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr66a subfamily
5322	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr77a subfamily
5323	insect chemoreceptor superfamily. Gustatory receptor (GR) family. Gr93a subfamily
5324	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or1a subfamily
5325	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily
5326	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or30a subfamily
5327	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or49a subfamily
5328	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or63a subfamily
5329	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or67d subfamily
5330	insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Orco subfamily
5331	insect defense protein family
5332	insect eclosion hormone family
5333	INSIG family
5334	INSM1 family
5335	InsP3 receptor family
5336	insulin family
5337	insulin family.
5338	INSYN1 family
5339	INSYN2 family
5340	Integrator subunit 1 family
5341	Integrator subunit 12 family
5342	Integrator subunit 2 family
5343	Integrator subunit 3 family
5344	Integrator subunit 4 family
5345	Integrator subunit 5 family
5346	Integrator subunit 6 family
5347	integrin alpha chain family
5348	integrin beta chain family
5349	intercrine alpha (chemokine CxC) family
5350	intercrine beta (chemokine CC) family
5351	intercrine beta (chemokine CC) family. Highly divergent
5352	intercrine delta family
5353	intercrine gamma family
5354	intercrine gamma family.
5355	interleukin-1 receptor family
5356	intermediate filament family
5357	internalin family
5358	intimin/invasin family
5359	intradiol ring-cleavage dioxygenase family
5360	intron maturase 2 family. MatK subfamily
5361	INTS14 family
5362	inturned family
5363	invasin protein B family
5364	invasin protein C family
5365	invasin protein D family
5366	invertebrate defensin family
5367	invertebrate defensin family. Type 1 subfamily
5368	invertebrate defensin family. Type 2 subfamily
5369	InvH family
5370	involucrin family
5371	inward rectifier-type potassium channel (TC 1.A.2.1) family
5372	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ1 subfamily
5373	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ10 subfamily
5374	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ11 subfamily
5375	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ12 subfamily
5376	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ13 subfamily
5377	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ14 subfamily
5378	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ15 subfamily
5379	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ16 subfamily
5380	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ2 subfamily
5381	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ3 subfamily
5382	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ4 subfamily
5383	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ5 subfamily
5384	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ6 subfamily
5385	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ8 subfamily
5386	inward rectifier-type potassium channel (TC 1.A.2.1) family. KCNJ9 subfamily
5387	inward rectifier-type potassium channel family
5388	iodothyronine deiodinase family
5389	Iojap/RsfS family
5390	IolE/MocC family
5391	IolI family
5392	IpgE/SigE chaperone family
5393	IPI1/TEX10 family
5394	IPK1 type 1 family
5395	IPK1 type 2 family
5396	IPP isomerase type 1 family
5397	IPP isomerase type 2 family
5398	IPP transferase family
5399	IprA family
5400	IQD family
5401	IRAG2 family
5402	IRAK1BP1 family
5403	IraM/RssC family
5404	IraP family
5405	IRC6 family
5406	IRF family
5407	IRF2BP family
5408	iron-containing alcohol dehydrogenase family
5409	iron-containing alcohol dehydrogenase family. Hydroxyacid-oxoacid transhydrogenase subfamily
5410	iron-sulfur bacterial cryptochrome/photolyase (FeS-BCP) family
5411	iron-sulfur dependent L-serine dehydratase family
5412	iron/ascorbate-dependent oxidoreductase family
5413	iron/ascorbate-dependent oxidoreductase family. GA20OX subfamily
5414	iron/ascorbate-dependent oxidoreductase family. GA2OX subfamily
5415	iron/ascorbate-dependent oxidoreductase family. GA3OX subfamily
5416	iron/manganese superoxide dismutase family
5417	IRS4 family
5418	IS1 elements InsA family
5419	IS150/IS1296 orfA family
5420	IS21/IS1162 putative ATP-binding protein family
5421	IscX family
5422	IsdA family
5423	IsdB family
5424	IsdC family
5425	IsdH family
5426	ISF1/MBR1 family
5427	ISN1 family
5428	isochorismatase family
5429	isochorismatase family. RutB subfamily
5430	isochorismate synthase family
5431	isocitrate and isopropylmalate dehydrogenases family
5432	isocitrate and isopropylmalate dehydrogenases family. LeuB type 1 subfamily
5433	isocitrate and isopropylmalate dehydrogenases family. LeuB type 2 subfamily
5434	isocitrate lyase family. Oxaloacetate decarboxylase subfamily
5435	isocitrate lyase/PEP mutase superfamily
5436	isocitrate lyase/PEP mutase superfamily. Isocitrate lyase family
5437	isocitrate lyase/PEP mutase superfamily. Methylisocitrate lyase family
5438	isocitrate lyase/PEP mutase superfamily. Oxaloacetate decarboxylase family
5439	isocitrate lyase/PEP mutase superfamily. PEP mutase family
5440	isocyanide synthase family
5441	isomerase IolB family
5442	isopentenyl phosphate kinase family
5443	isopentenyl transferase family
5444	IspD/TarI cytidylyltransferase family. IspD subfamily
5445	IspD/TarI cytidylyltransferase family. TarI subfamily
5446	IspF family
5447	IspG family
5448	IspH family
5449	IST1 family
5450	IST3 family
5451	isthmin family
5452	ISY1 family
5453	ITIH family
5454	ITM2 family
5455	ITPK1 family
5456	ITPRIP family
5457	IucA/IucC family
5458	IucB family
5459	IUNH family
5460	IUNH family. RihA subfamily
5461	IUNH family. RihB subfamily
5462	IUNH family. RihC subfamily
